127.0.0.1 - - [26/Apr/2017:21:15:40 -0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:59:42 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:59:42 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:59:43 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:21:59:49 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:00:43 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:00:44 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:01:41 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:01:42 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:01:42 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:01:42 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:01:43 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:01:43 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:01:43 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:01:43 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:01:43 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:01:44 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:02:09 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:02:10 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:02:10 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:02:45 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:02:46 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:02:46 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:02:47 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:02:47 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:02:47 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:02:47 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:02:47 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:02:48 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:03:07 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [26/Apr/2017:22:03:27 -0700] "GET /Lab22/DollarConverter.html HTTP/1.1" 200 914
